id;hp_name;hp_apodo;hp_apodo_second;hp_escpecie;hp_genero;hp_casa;hp_bord;hp_sangre;hp_barita;hp_altura;hp_patronus;hp_actor;hp_image
e9457467-d10a-4893-afa9-19f9602b218a;Madam Pomfrey;Poppy Pomfrey;;human;female;;;;;;;Gemma Jones;
63c6fcff-a1a4-4caf-a5ac-e2197c12cb1e;Mrs Figg;Arabella Doreen Figg;;human;female;;;squib;;;;Kathryn Hunter;
162b34f3-aaab-46ae-980b-f2a5ebceb684;Marge Dursley;Marjorie Eileen Dursley;Aunt Marge;human;female;;;muggle;;;;Pam Ferris;
d70f60ae-81ea-4230-905d-cb52c801c1fb;Yvonne;;;human;female;;;muggle;;;;;
57fa4f38-a1ff-4671-890d-49af38b2a619;Piers Polkiss;;;human;male;;;muggle;;;;Jason Boyd;
a18ef59a-89cf-4afd-bf87-83273990d911;Dennis;;;human;male;;;muggle;;;;Christopher Rithin;
ef33d1e6-427c-465e-9a9f-037442b376d3;Malcolm;;;human;male;;;muggle;;;;Richard Macklin;
71a95495-134d-4af7-8473-5f3495979845;Gordon;;;human;male;;;muggle;;;;;
933787c2-51e3-4eac-8a85-ab332cac0456;Miranda Gaushawk;;;human;female;;;;;;;;
8b5bbdda-6a45-409c-99b7-0c64e69ed611;Bathilda Bagshot;;;human;female;;;;;;;;
8674a5d1-b2ba-4025-ac6d-4d1aa3f49ad9;Adalbert Waffling;;;human;male;;;;;;;;
cd98821f-04a8-4df7-9098-64ab117ede00;Emeric Switch;;;human;male;;;;;;;;
19fa7e4e-dadd-46a8-912e-51a1f622ce0e;Phyllida Spore;Dame Phyllida Spore;;human;female;;;;;;;;
f859a0ab-0401-4791-b8f5-d3b2bc9668ca;Arsenius Jigger;;;human;male;;;;;;;;
2a376401-4821-4aec-94d7-9b3da2c77d85;Newt Scamander;Newton Artemis Fido Scamander;;human;male;Hufflepuff;24-02-1897;;;;;Eddie Redmayne;
aa83dd83-beb5-43ef-b4a1-9bb2389edc44;Quentin Trimble;;;human;male;;;;;;;;
1e705d10-aa89-4e9c-94be-478304d55dbb;Tom;;;human;male;;;;;;;Derek Deadman;
43b2880a-df86-4f55-a599-9cd0548833f4;Doris Crockford;;;human;female;;;;;;;Nina Young;
ba19be27-178b-4594-95b7-51ba0e3ba1dd;Quirinus Quirrel;Professor Quirrel;;human;male;;;;;;;Ian Hart;
4bd76a78-86d8-40f6-aed4-74fe51783594;Griphook;;;goblin;male;;;;;;;Verne Troyer;
7b26f1db-7cc5-4b66-9f2f-6bbb04d628b2;Madam Malkin;;;human;female;;;;;;;;
ba05fee0-483c-42ed-a8b6-b7a82b6e800a;Vindictus Viridian;;;human;male;;;;;;;;
d59691a4-f830-4eb0-a819-a0fb00b7e80f;Garrick Ollivander;;;human;male;;;;;;;John Hurt;
6b59be3f-e527-422d-959d-79fcdb3b24eb;Hedwig;;;owl;female;;;;;;;Gizmo;
79e02eb5-17c0-4dd9-bf55-aec03434812c;Molly Weasley;Molly Prewett;Mollywabbles;human;female;Gryffindor;;pure-blood;;;;Julie Walters;
8f3b8796-c7b9-442e-ac02-113d48306fc7;Percy Weasley;Perce;Percy Ignatius Weasley;human;male;Gryffindor;;pure-blood;;;;Chris Rankin;
28741184-263c-4000-b011-ca7c60466ef4;Fred Weasley;;;human;male;Gryffindor;;pure-blood;;;;James Phelps;
2a0615de-8aa4-41e7-9504-dd875f5f3f01;George Weasley;;;human;male;Gryffindor;;pure-blood;;;;Oliver Phelps;
979ab773-944f-4ff8-88be-943a4bc2c18a;Lee Jordan;;;human;male;Gryffindor;;;;;;Luke Youngblood;
cd09be4a-1581-4a7e-b4e7-4505e66a68a5;Bill Weasley;William Arthur Weasley;;human;male;Gryffindor;;pure-blood;;;;Richard Fish;
01c62c63-f481-41c0-ab06-189caf3a6a61;Charlie Weasley;Charles Weasley;;human;male;Gryffindor;;pure-blood;;;;Alex Crockford;
2772994f-6a19-4d01-9993-5e10cc6f69a5;Fat Friar;;;ghost;male;Hufflepuff;;;;;;Simon Fisher-Becker;
1ec8a085-d88c-4ba7-a7c6-a0f93156db07;Peeves;;;poltergeist;male;;;;;;;;
0af82694-e24f-45ec-a8d7-5bb1199ce631;Hannah Abbott;;;human;female;Hufflepuff;;half-blood;;;;Charlotte Skeoch;
7cc5e694-850d-4c44-830b-7154e23bb5c3;Susan Bones;;;human;female;Hufflepuff;;;;;;Eleanor Columbus;
9055a7b1-6ac9-4363-977c-4dec78572fad;Terry Boot;;;human;male;Ravenclaw;;;;;;Kevin Lee Yi;
c5acae3e-1a05-4f1d-bb83-3f8c7639d84e;Mandy Brocklehurst;;;human;female;Ravenclaw;;;;;;Christina Petrou;
f94086b8-03ae-4457-ba2c-e624d0980869;Lavender Brown;;;human;female;Gryffindor;;;;;;Kathleen Cauley;
14aca981-2b60-413e-8f8e-3534961b534b;Millicent Bulstrode;;;human;female;Slytherin;;;;;;Helen Stuart;
34155375-c8c0-415e-873a-b6483f0cbf17;Justin Finch-Fletchley;;;human;male;Hufflepuff;;muggleborn;;;;Edward Randell;
1413e1b3-2903-4a47-a2d5-e8abc5ce8014;Seamus Finnegan;O'Flaherty;;human;male;Gryffindor;;half-blood;;;;Devon Murray;
ec714982-e604-40d4-bd4c-dc5155506957;Morag MacDougal;;;human;female;;;;;;;;
e32dd37c-91cd-4950-8ef2-e2ba1b87bd75;Lily Moon;;;human;female;;;;;;;;
47aa7511-59b9-4760-9bd7-822a1103177b;Theodore Nott;;;human;male;Slytherin;;pure-blood;;;;;
2899e63f-ed02-4152-8ace-0270a068a70d;Pansy Parkinson;;;human;female;Slytherin;;;;;;Genevieve Gaunt;
0201cf73-8a86-4358-b232-2abaa23f09af;Parvati Patil;;;human;female;Gryffindor;;;;;;Sitara Shah;
69c18f6a-cd97-4218-9f2f-740393e6eb1f;Padma Patil;;;human;female;Ravenclaw;;;;;;Sharon Sandhu;
3d629315-1dbb-4e1e-840d-ffbf45bd5894;Sally-Anne Perks;;;human;female;;;;;;;;
eaea5eb3-48a3-41c6-9ea5-c695299bab16;Lisa Turpin;;;human;female;Ravenclaw;;;;;;;
1fab149b-52b1-4ffe-be52-4eda25d98f5d;Blaise Zabini;;;human;male;Slytherin;;;;;;Louis Cordice;
11b5ca88-64ad-41a4-9f36-317b66c290af;Nearly Headless Nick;Sir Nicholas de Mimsy-Porpington;Sir Nicholas;ghost;male;Gryffindor;;;;;;John Cleese;
9a33fe44-b950-4877-a0cb-902a52c72e8b;Bloody Baron;;;ghost;male;Slytherin;;;;;;Terence Bayler;
8392b326-31fd-43de-ad5c-0cfcf81b82ee;Fat Lady;;;human;female;;;;;;;Elizabeth Spriggs;
e8694719-a975-48fb-9523-f4cade1c38aa;Pomona Sprout;Professor Sprout;;human;female;Hufflepuff;;;;;;Miriam Margolyes;
6ea188f3-d95c-407c-ab00-a0bec8678a71;Cuthbert Binns;Professor Binns;;ghost;male;;;;;;;;
c1f90a1e-33eb-4e60-8dac-15ea5855a996;Emeric the Evil;;;human;male;;;;;;;;
4cc138eb-6882-4b78-bf45-28f0041590fb;Uric the Oddball;;;human;male;;;;;;;;
a61e0783-7914-4f8d-a800-c409c06315cf;Filius Flitwick;Professor Flitwick;;human;male;Ravenclaw;;;;;;Warwick Davis;
0a81c4f9-b80d-45a7-a4fd-9191453815a1;Madam Hooch;Rolanda Hooch;;human;female;;;;;;;Zoë Wanamaker;
09396e81-d317-499f-b330-25b90ba17d20;Oliver Wood;;;human;male;;;;;;;Sean Biggerstaff;
2ae8e574-9154-459c-b92e-4b0d1267e573;Gregory the Smarmy;;;human;male;;;;;;;;
0112e668-f94d-4d5f-8fa8-99c45280e9a8;Wizard Baruffio;;;human;male;;;;;;;;
b634f0a1-7b48-49b6-b039-27f947ee76fd;Angelina Johnson;;;human;female;Gryffindor;;;;;;Danielle Tabor;
0e42ecbe-27b2-4940-9b03-00182a92c415;Marcus Flint;;;human;male;Slytherin;;;;;;Jamie Yeates;
c29cd5f9-d2c3-4be9-ba1c-04169cdf511b;Alicia Spinet;;;human;female;Gryffindor;;;;;;Leilah Sutherland;
2832bea8-7aad-4160-a748-442f5770d586;Katie Bell;;;human;female;Gryffindor;;;;;;Emily Dale;
b78e6677-8bb4-4eb7-97cb-2f86677e27ea;Adrian Pucey;;;human;male;Slytherin;;;;;;Scot Fearn;
c8aed011-ab8f-46df-9e8d-dde938256ea9;Miles Bletchley;;;human;male;Slytherin;;;;;;David Churchyard;
9ac09267-92ea-444a-a395-28f3b0f6fe6f;Terrence Higgs;;;human;male;Slytherin;;;;;;Will Theakston;
40e0acaa-30cd-4923-8408-9a96a484e892;Fluffy;;;three-headed dog;male;;;;;;;;
b93b8e74-c283-4547-8a69-83ee51657f13;Nicolas Flamel;;;human;male;;;;;;;Brontis Jodorowsky;
f6901cd9-a7b2-49d0-af85-73678536b4df;Gellert Grindelwald;;;human;male;;;;;;;Jamie Campbell Bower;
5e4d5e25-5393-435b-81c8-556fa78af659;Norberta;;;dragon;female;;;;;;;;
f94e870e-2c3b-4e17-adea-088660b6de78;Ronan;;;centaur;male;;;;;;;;
484d89aa-5d22-4d4d-9e07-4913cf8d4d20;Bane;;;centaur;male;;;;;;;Jason Piper;
68eb4a0b-6c49-44e9-aec8-5af947d22141;Firenze;Professor Firenze;;centaur;male;;;;;;;Ray Fearon;
c8f7f244-97ac-449e-922d-a30f063a1ad0;Elfrick the Eager;;;goblin;male;;;;;;;;
bd687632-3bec-4071-952d-c6cb813a41e7;Perenelle Flamel;;;human;female;;;;;;;;
4c1adea5-3421-49a9-8e3e-a3ff0fe7ce60;Bertie Bott;;;human;male;;;;;;;;
0d8ea37f-35c4-4c7d-9dd2-8ccd96b0a2b3;Dobby;;;house-elf;male;;;;;;;Toby Jones;
cd022893-b7ea-4bd8-a4fb-c9933c695813;Mr Mason;;;human;male;;;muggle;;;;Jim Norton;
1c520134-9f75-48a9-b3c7-6c31ffa86178;Mrs Mason;;;human;female;;;muggle;;;;Veronica Clifford;
e3f5217d-52b5-4d7b-9a40-faed18a98d3c;Perkins;;;human;male;;;;;;;;
fa09ab9d-9e65-4966-9d79-ea7c837348fb;Celestina Warbeck;;;human;female;Gryffindor;;half-blood;larch;10.5;;;
3d687c4d-852e-470f-bac5-5a02758b1f8f;Gilderoy Lockhart;Professor Lockhart;;human;male;;;half-blood;cherry;9;;Kenneth Branagh;
17bd1ab9-19bc-4796-8865-53e75e3b488d;Mundungus Fletcher;Dung;;human;male;;;;;;;Andy Linden;
d74336b1-cee5-4d25-a783-bf61dbb6c19a;Mr Borgin;;;human;male;;;;;;;Edward Tudor-Pole;
c9804c5b-943b-4710-8f95-0c3b40141007;Mr Granger;Wendell Wilkins;;human;male;;;muggle;;;;Tom Knight;
895e355a-c017-4eba-bc72-dda0699c0b96;Mrs Granger;Monica Wilkins;;human;female;;;muggle;;;;Heather Bleasdale;
c0f33c97-d01d-42ed-ae40-1a525f75bb01;Dr Filibuster;;;human;male;;;;;;;;
8e557e86-28d5-433f-8ac1-d2cecfeb8fb7;Colin Creevey;;;human;male;Gryffindor;;muggleborn;;;;Hugh Mitchell;
8d885bd9-6103-424b-b884-c26720a64d94;Gladys Gudgeon;;;human;female;;;;;;;;
a4e18c27-077a-441a-b9a9-97ee9ba53224;Veronica Smethley;;;human;female;;;;;;;;
e938023d-ba03-402a-b6ff-ecadc0ff4dbb;Patrick Delaney-Podmore;Sir Patrick Delaney-Podmore;;ghost;male;;;;;;;;
8d018f5d-8370-41c8-8aa4-8b8a815ec801;Z. Nettles;;;human;female;;;;;;;;
50f9e638-fa69-4c97-ba2c-bfc7124b7818;D.J. Prod;Demetrius J. Prod;;human;male;;;;;;;Chris Wilson;
98a5a56d-91a6-4c32-b793-f97e83919bde;Elsie Prod;;;human;female;;;;;;;;
9969f803-6835-4871-80b3-7bb975c1ec06;Moaning Myrtle;Myrtle Elizabeth Warren;;ghost;female;Ravenclaw;;muggleborn;;;;Shirley Henderson;
834d5f9b-cdd8-48ee-9efa-5e155422f6c2;Godric Gryffindor;;;human;male;;;;;;;;
575626ab-cf61-440e-88a0-db188abb1cbb;Rowena Ravenclaw;;;human;female;;;;;;;;
a7c7c44d-07e4-4257-860e-375f47338cb2;Helga Hufflepuff;;;human;female;;;;;;;;
20d331c9-cd3e-4dde-a480-6cc05cd26db7;Salazar Slytherin;;;human;male;;;;;;;;
cdec9b95-c7a5-4623-ad12-6fa76d168588;Madame Pince;Irma Pince;;human;female;;;;;;;Sally Mortemore;
ecca342d-d345-4fb3-8a85-ece848ab8938;Milicent Bullstroude;;;human;female;Slytherin;;;;;;Helen Stuart;
0c80d701-fa23-4126-9711-efe5f3c4789a;Ernie Macmillan;Ernest Macmillan;;human;male;Hufflepuff;;;;;boar;Louis Doyle;
7cf58a76-8af2-4ebb-9264-ea0ac273eadc;Armando Dippet;Professor Dippet;;human;male;;;;;;;Alfred Burke;
42915280-ba56-4ab8-8b17-9511ba2ab093;Penelope Clearwater;Penny;;human;female;Ravenclaw;;;;;;Gemma Padley;
3ba61708-c5a2-4691-8c7a-9c0865575dba;Cornelius Fudge;Minister Cornelius Oswald Fudge;;human;male;;;;;;;Robert Hardy;
a08aebd0-49fb-4d5d-b3db-52bf8f7ce594;Aragog;;;acromantula;male;;;;;;;Julian Glover;
82a29e30-1321-47b8-813f-2710f885b7d2;Mosag;;;acromantula;female;;;;;;;;
3f0fc32c-744b-4351-8542-58ed267e059b;Stanley Shunpike;Stan;;human;male;;;;;;;Lee Ingleby;
a62905eb-4965-44c7-baf0-0d8a2486f5b0;Ernest Prang;Ernie;;human;male;;;;;;;Jimmy Gardner;
cfce8b1b-64c9-4058-8e13-9b192b80d2ef;Madam Marsh;;;human;female;;;;;;;;
7673c196-9187-49ea-a3f0-7cebc079a15a;Florean Fortescue;;;human;male;;;;;;;;
c7121c73-1fce-4343-b823-a67f4ecfdef2;Sir Cadogan;;;human;male;;;;;;;Paul Whitehouse;
8ea29415-012d-4781-ba5f-d0de63a05abe;Sybill Trelawney;Sybill Patricia Trelawney;Professor Trelawney;human;female;;;;;;;Emma Thompson;
fa4f7f3a-947b-4bc1-bab2-c7a19c7c2c30;Buckbeak;Beaky;Witherwings;hippogriff;male;;;;;;;;
1b6c8547-294a-40c0-892b-63a9511ca7d7;Peter Pettigrew;Wormtail;Scabbers;human;male;Gryffindor;;;chestnut;9.25;;Timothy Spall;
113d2cd5-4d5c-4727-ae97-64a7dfc4423c;Madam Rosmerta;;;human;female;;;;;;;Julie Christie;
eb96189d-e2b6-4159-a357-c6cdf11f3631;Derek;;;human;male;;;;;;;;
58f2cf41-392c-4e84-b441-dbbce585f78d;Septima Vector;Professor Vector;;human;female;;;;;;;;
c61b5c80-2c8e-404f-88ca-349a6344f35c;Cassius Warrington;;;human;male;Slytherin;;;;;;Ashley Hull;
e7f4554e-8193-4b16-a40b-a8b38a0c3e57;Graham Montague;;;human;male;Slytherin;;;;;;;
458828b3-82a5-4cad-a784-e23215825765;Peregrine Derrick;;;human;male;Slytherin;;;;;;;
58a287c2-8c7a-485a-b095-8c6dcfc7f31d;Lucian Bole;;;human;male;Slytherin;;;;;;;
f677db35-cef6-466f-a0e4-548d0a274ec5;Walden Macnair;;;human;male;Slytherin;;;;;;Peter Best;
08aefb5c-2a7c-42e1-a6ac-7f150749aa2a;Franc Bryce;;;human;male;;;muggle;;;;Eric Sykes;
da0c8c39-04e1-4899-b562-e69c21218e2a;Dot;;;human;female;;;muggle;;;;;
8c3a1d16-83be-4904-b074-476f8cf72198;Bertha Jorkins;;;human;female;;;;;;;;
70d665a5-35c9-43a8-a2b0-ef20ddfc3770;Barty Crouch;Bartemius Crouch Senior;;human;male;;;pure-blood;;;;Roger Lloyd-Pack;
13f1edc7-e2e2-4f3d-9637-f3e897a484b7;Ludo Bagman;Ludovic Bagman;;human;male;;;;;;;;
d9294c96-bd7d-45d0-95e2-deaf71e09945;Amos Diggory;;;human;male;;;;;;;Jeff Rawle;
2d25ada6-801e-4943-acca-adffc942820b;Mr Roberts;;;human;male;;;muggle;;;;;
8f3f55ac-99d5-4a01-a0a3-f43ca5052596;Mr Payne;;;human;male;;;muggle;;;;;
10460839-62ce-426b-b690-2c82f8c65869;Basil;;;human;male;;;;;;;;
941c0d0c-ec0d-4c32-af0d-bcf8af84d584;Archie Aymslowe;;;human;male;;;;;;;;
0c19c654-d363-42a1-bd8f-13bd35dad075;Cuthbert Mockridge;;;human;male;;;;;;;;
ca8a41e3-1f20-4c28-bc8a-b1831206edf5;Gilbert Wimple;;;human;male;;;;;;;;
6777feda-2318-4605-ba0e-1a6fd5fc2e7f;Arnold Peasegood;;;human;male;;;;;;;;
cb49285e-1dcb-413e-905b-2a883ac35ddc;Broderick Bode;;;human;male;;;;;;;;
391546f6-d357-43e1-8072-98a8548d4902;Saul Croaker;;;human;male;;;;;;;;
91142fb9-dc92-4f6f-8504-5498916f07a6;Ali Bashir;;;human;male;;;;;;;;
b7b18aa1-b5a0-4083-8142-cb3655bc2849;Victor Krum;;;human;male;;;;hornbeam;10.25;;Stanislav Ianevski;
45d6db91-393e-40e0-8c04-43cb598fb9e5;Winky;;;house-elf;female;;;;;;;;
166ba5e0-ad04-4c7e-9850-6a21aede93c2;Narcissa Malfoy;Cissy;;human;female;;;pure-blood;;;;Helen McCrory;
110a6a98-78c5-420a-b9b6-d25af10ddc4e;Vasily Dimitrov;;;human;male;;;;;;;;
3e9461c1-4262-4beb-8c48-ca8a46a8859b;Clara Ivanova;;;human;female;;;;;;;;
6a094c72-e53b-4e21-adc3-8c54fb205c1d;Lev Zograf;;;human;male;;;;;;;;
5c913cb2-e964-4172-b8ce-a0550d2734df;Alexei Levski;;;human;male;;;;;;;;
5161ffa8-9c86-4500-9533-4c805eb69a61;Pyotr Vulchanov;;;human;male;;;;;;;;
a6a27c4f-9bbd-4bf9-89b2-f62171ae9a37;Ivan Volkov;;;human;male;;;;;;;;
29db34fe-8f85-4fc0-accf-642d025de301;Connolly;;;human;male;;;;;;;;
9fd63149-724d-4a80-9761-6db7394575c0;Barry Ryan;;;human;male;;;;;;;;
311850b1-2d4d-4e29-b115-9488cc554415;Troy;;;human;male;;;;;;;;
0bdbed6e-7690-4326-99cc-86de89dc4a58;Mullet;;;human;female;;;;;;;;
8b225672-8f2a-4a11-829b-3b42d082aff0;Moran;;;human;female;;;;;;;;
2bbc36f9-914c-45c7-b61e-1003f2ac728f;Quigley;;;human;male;;;;;;;;
559719e0-c54d-4589-8485-2dc865581001;Aidan Lynch;;;human;male;;;;;;;;
53ed1c30-a5dc-4b1b-aa0d-3da881b0ddc2;Hassan Mostafa;;;human;male;;;;;;;;
a93b80a0-987d-4148-944d-16043df95e8c;Dennis Creevey;;;human;male;;;muggleborn;;;;;
99d3ce6b-6a45-495a-a7c6-132203697d45;Aurora Sinistra;Professor Sinistra;;human;female;;;;;;;;
05bd5fd1-f347-45e6-8ec0-59b7f11c2aec;Stewart Ackerley;;;human;male;Ravenclaw;;;;;;;
2f8db183-e935-4b91-884f-fb9effe42ab8;Malcolm Baddock;;;human;male;Slytherin;;;;;;;
29adbbf0-417a-4c97-8467-adb5341f75e5;Eleanor Branstone;;;human;female;Hufflepuff;;;;;;;
98546bab-8d5b-4627-95f6-38e306d58a91;Owen Cauldwell;;;human;male;Hufflepuff;;;;;;;
cf3707ad-e816-4b54-90d0-403800a06ecd;Emma Dobbs;;;human;female;;;;;;;;
ae068570-8419-4063-bf61-ba4a0ef41fe3;Laura Madley;;;human;female;Hufflepuff;;;;;;;
48880498-3903-4914-bd11-ec650d803199;Natalie McDonald;;;human;female;Gryffindor;;;;;;;
a506574f-c8cf-46c6-a8ac-2f805c25e49e;Graham Pritchard;;;human;male;Slytherin;;;;;;;
b01be346-290b-4f65-9c88-a49922e116ee;Orla Quirke;;;human;female;Ravenclaw;;;;;;;
4eef1e03-cf1c-4441-9119-a6e47a61f880;Kevin Whitby;;;human;male;Hufflepuff;;;;;;;
13a54f8a-7f68-4add-a1b4-49f60c8e7bcc;Eloise Midgen;;;human;female;Gryffindor;;;;;;Samantha Clinch;
41ebe856-f0f4-4c77-8795-4735d3a87f3d;Alastor Moody;Professor Moody;Mad-Eye;human;male;;;pure-blood;;;;Brendan Gleeson;
b4dbc2d2-afde-40ec-a622-b1ffa6aaca4d;Madame Maxime;Olympe Maxime;;half-giant;female;;;;;;;Frances de la Tour;
72239274-a060-4fd5-bff2-7d4a01d31969;Igor Karkaroff;;;human;male;;;;;;;Predrag Bjelac;
2ec7c04f-2aac-47e8-9f9c-2360b2884ac2;Poliakoff;;;human;male;;;;;;;;
6045a853-10f3-4d6d-a29d-b76c5972f264;Fawcett;;;human;female;Ravenclaw;;;;;;Alex Argenti;
0a6a1c41-793f-419c-a133-be6ac7d80ab6;Summers;;;human;male;Hufflepuff;;;;;;;
f1beae08-3bec-4978-89e9-4ecda4ec7514;Fleur Delacour;;;human;female;;;;;;;Clémence Poésy;
d254b20b-37a6-4468-bec9-6069754edaf2;Gregorovic;Mykew Gregorovitch;;human;male;;;;;;;Rade Šerbedžija;
2844e38c-ded3-47e7-8de2-381d1e3581fc;Rita Skeeter;;;human;female;;;;;;;Miranda Richardson;
f4b817be-f0c1-457d-8ec4-1716652d0c06;Stebbins;;;human;male;Ravenclaw;;;;;;;
b48c5b8a-4066-4c24-ba26-7677f5ed2b6f;Wilhelmina Grubbly-Plank;Professor Grubbly-Plank;;human;female;;;;;;;Apple Brook;
8ace1b0d-b058-4e44-994b-8dc2aa3427a5;Bozo;;;human;male;;;;;;;Peter O'Farrell;
